subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,has_img,on_view,geometry
Brewster House,1825,"Ossipee, NH",Porter School,mural,Lefko,school,school,43.6846498220182,-71.1036627646898,"<b>Brewster House</b><br>Ossipee, NH, circa 1825<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS8berzdVsYkKJE_ev-ORrLtt1Zjd8YdEJ5pPdNM-481EguTB10_ywOCVhotBI8W3KsJYeugSedcZJE/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vS8berzdVsYkKJE_ev-ORrLtt1Zjd8YdEJ5pPdNM-481EguTB10_ywOCVhotBI8W3KsJYeugSedcZJE/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(43.6846498220182, -71.1036627646898)"
Artemas Hemenway Tavern,1830,"Pepperell, MA",Porter School,mural,Lefko,school,school,42.6653822446168,-71.5818062084937,"<b>Artemas Hemenway Tavern</b><br>Pepperell, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQwsSsef__jRnH7wttRrk5R3ARzSfdgdcHx4rA4aYEsmvhN-TtTlDkXa7uYaNLplbQvenkQ3cws0lKp/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQwsSsef__jRnH7wttRrk5R3ARzSfdgdcHx4rA4aYEsmvhN-TtTlDkXa7uYaNLplbQvenkQ3cws0lKp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(42.6653822446168, -71.5818062084937)"
Roswell Warner House,1830,"Sturbridge, MA",Porter School,mural,Lefko,school,school,42.1053016346994,-72.0849087197032,"<b>Roswell Warner House</b><br>Sturbridge, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSA-dtMWzKP0-pvWmqHOBG--IxgJJFk_QpzBK3ViT-uLJAjoAcJSdgJZGFsx06JUhMsi9w8QZLpUlAw/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSA-dtMWzKP0-pvWmqHOBG--IxgJJFk_QpzBK3ViT-uLJAjoAcJSdgJZGFsx06JUhMsi9w8QZLpUlAw/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(42.1053016346994, -72.0849087197032)"
Haile House,1825,"Surry, NH",Porter School,mural,Lefko,school,school,43.0137916443802,-72.3291282266779,"<b>Haile House</b><br>Surry, NH, circa 1825<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTlvKDPXXiEKCf2JhX1dGXgFua7K8AXXO2Y0-ErchS7qu-x-tpF2unhS9lYq_17w1Q_E7QKchpmSViS/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTlvKDPXXiEKCf2JhX1dGXgFua7K8AXXO2Y0-ErchS7qu-x-tpF2unhS9lYq_17w1Q_E7QKchpmSViS/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(43.0137916443802, -72.3291282266779)"
Mason Barney House,1830,"Swansea, MA",Porter School,mural,Lefko,school,school,41.7456771942459,-71.1986918510018,"<b>Mason Barney House</b><br>Swansea, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTwCb-LJyJBet8pOdX9FF2me-qwD3J2DJynCAjuThl9WEqsMU3jZxKF9DCzbk0kS_aWxcx5HZnRouET/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTwCb-LJyJBet8pOdX9FF2me-qwD3J2DJynCAjuThl9WEqsMU3jZxKF9DCzbk0kS_aWxcx5HZnRouET/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(41.7456771942459, -71.1986918510018)"
Birchwood Inn,1830,"Temple, NH",Porter School,mural,Lefko,school,school,42.8148251101884,-71.8515814310863,"<b>Birchwood Inn</b><br>Temple, NH, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=813', width = '300'><br><small>Four mural walls are viewable at the <a href='https://www.thebirchwoodinn.com/'>Birchwood Inn</a></small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=813,Four mural walls are viewable at the <a href='https://www.thebirchwoodinn.com/'>Birchwood Inn</a>,no,yes,"c(42.8148251101884, -71.8515814310863)"
Hackett House,1810,"Thornton, NH",Bears and Pears Artist,mural,Lefko,other,other,43.8952779661487,-71.665861493765,"<b>Hackett House</b><br>Thornton, NH, circa 1810<br>Attributed to Bears and Pears Artist by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSk0q1Vt0CHoudIptgqSSfTS6YcY6UZvyoVDWGLcCd_vRR9s83FMf4iaSpbXlzfC82pcgnBzUaDohzu/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSk0q1Vt0CHoudIptgqSSfTS6YcY6UZvyoVDWGLcCd_vRR9s83FMf4iaSpbXlzfC82pcgnBzUaDohzu/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(43.8952779661487, -71.665861493765)"
Quincy Sylvester House,1830,"Townsend, MA",Porter School,mural,Lefko,school,school,42.6637536933444,-71.7136759459899,"<b>Quincy Sylvester House</b><br>Townsend, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTGuQwC9VKSkOVj2sf2SBfIEes_sadMD9Yu7jwnEIoR-7b8AFbV394ctJi6dXCFofHUovxmJ-ckh9wO/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTGuQwC9VKSkOVj2sf2SBfIEes_sadMD9Yu7jwnEIoR-7b8AFbV394ctJi6dXCFofHUovxmJ-ckh9wO/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(42.6637536933444, -71.7136759459899)"
Timothy Smith House,1835,"Westwood, MA",Porter School,mural,Lefko,school,school,42.2164541719951,-71.2311407051225,"<b>Timothy Smith House</b><br>Westwood, MA, circa 1835<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQJ-4ClFiA319Lf4N_u0W0PriVszRGd9tsJeSRE3QJzGxd9DO1-Fz36kihHcSl-5h9D6sSantbflXzN/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe <br> Now on view at the <a href=""https://www.westwoodlibrary.org/"">Westwood Public Library</a></small>",https://docs.google.com/drawings/d/e/2PACX-1vQJ-4ClFiA319Lf4N_u0W0PriVszRGd9tsJeSRE3QJzGxd9DO1-Fz36kihHcSl-5h9D6sSantbflXzN/pub?w=960&h=720,"<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe <br> Now on view at the <a href=""https://www.westwoodlibrary.org/"">Westwood Public Library</a>",yes,no,"c(42.2164541719951, -71.2311407051225)"
Edmund Parker House,1830,"Winchester, MA",Porter School,mural,Lefko,school,school,42.4533447229541,-71.1391474567748,"<b>Edmund Parker House</b><br>Winchester, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQyO3gzvfzoVFjHlZvMd_KIGrCEhyKdfABjrN5uDReM_VEvyYkE3V5BWNhS-vGgdivNqkd39dx-hnKF/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQyO3gzvfzoVFjHlZvMd_KIGrCEhyKdfABjrN5uDReM_VEvyYkE3V5BWNhS-vGgdivNqkd39dx-hnKF/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(42.4533447229541, -71.1391474567748)"
Captain Solomon Stanley House,1830,"Winthrop, ME",Porter School,mural,Lefko,school,school,44.3054879124859,-69.9741463348523,"<b>Captain Solomon Stanley House</b><br>Winthrop, ME, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vR7ngCf3ldghqj56e4VEpYGEoBE0qz4TtSdGwR77n2jTII92axsI3crT4KU16ReHFwJXeJq1GLklmOp/pub?w=598&h=246', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vR7ngCf3ldghqj56e4VEpYGEoBE0qz4TtSdGwR77n2jTII92axsI3crT4KU16ReHFwJXeJq1GLklmOp/pub?w=598&h=246,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(44.3054879124859, -69.9741463348523)"
Bartlett House,1830,"Amesbury, MA",Porter School,mural,Lipman,school,school,42.8548906388266,-70.9209179562687,"<b>Bartlett House</b><br>Amesbury, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQJu-Znem26TndcKbzeQymjyAkgg8Fb5fcopjWB0GJ1AYdoeEmq4ZvrmjEDfbH_TIsFpsoleC26kTdJ/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQJu-Znem26TndcKbzeQymjyAkgg8Fb5fcopjWB0GJ1AYdoeEmq4ZvrmjEDfbH_TIsFpsoleC26kTdJ/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(42.8548906388266, -70.9209179562687)"
Poor-Perry House,1835,"Andover, MA",Porter School,mural,Lipman,school,school,42.6557931145918,-71.1383359322738,"<b>Poor-Perry House</b><br>Andover, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=811', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=811,Image Unavailable,no,no,"c(42.6557931145918, -71.1383359322738)"
Job Lane House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.490650065485,-71.2665817420904,"<b>Job Lane House</b><br>Bedford, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://joblanefarmmuseum.org/wp-content/uploads/2021/10/DSCN1317-768x576.jpg', width = '300'><br><small>Job Lane Farm Museum <br> Now on view at the <a href='https://joblanefarmmuseum.org/'>Job Lane Farm Museum</a></small>",https://joblanefarmmuseum.org/wp-content/uploads/2021/10/DSCN1317-768x576.jpg,Job Lane Farm Museum <br> Now on view at the <a href='https://joblanefarmmuseum.org/'>Job Lane Farm Museum</a>,yes,yes,"c(42.490650065485, -71.2665817420904)"
Carroll Dunham House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4915491980408,-71.2627484607139,"<b>Carroll Dunham House</b><br>Bedford, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=786', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=786,Image Unavailable,no,no,"c(42.4915491980408, -71.2627484607139)"
Jonas Monroe House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.491366885264,-71.2827262852687,"<b>Jonas Monroe House</b><br>Bedford, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=785', width = '300'><br><small>Murals damaged by attempted restoration without a trained professional.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=785,Murals damaged by attempted restoration without a trained professional.,no,no,"c(42.491366885264, -71.2827262852687)"
Penniman-Stearns House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4887731025845,-71.2725150999701,"<b>Penniman-Stearns House</b><br>Bedford, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=784', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=784,Wallpapered over.,no,no,"c(42.4887731025845, -71.2725150999701)"
Dutton House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4899684670932,-71.2695147906066,"<b>Dutton House</b><br>Bedford, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS1m6f-aZ2T4fXtLUi3nTw9l1C9cOApXSZSjQAJj38tfgKoIBZG6RZ0n8cClRPanDjL2mzrdfhk3-cp/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vS1m6f-aZ2T4fXtLUi3nTw9l1C9cOApXSZSjQAJj38tfgKoIBZG6RZ0n8cClRPanDjL2mzrdfhk3-cp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(42.4899684670932, -71.2695147906066)"
Dyer House,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5549756617911,-71.2687835779915,"<b>Dyer House</b><br>Billerica, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=789', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=789,House burned down.,no,no,"c(42.5549756617911, -71.2687835779915)"
Donald Schult House,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5561694252152,-71.2695428673387,"<b>Donald Schult House</b><br>Billerica, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=787', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=787,Wallpapered over.,no,no,"c(42.5561694252152, -71.2695428673387)"
Lyons House,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5567875312324,-71.2800546218136,"<b>Lyons House</b><br>Billerica, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=788', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=788,Wallpapered over.,no,no,"c(42.5567875312324, -71.2800546218136)"
Manning Manse,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.560512077572,-71.2803422858302,"<b>Manning Manse</b><br>Billerica, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=790', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=790,Wallpapered over.,no,no,"c(42.560512077572, -71.2803422858302)"
Beacon Hill Boarding House,1843,"Boston, MA",Porter School,mural,Lipman,school,school,42.360138871648,-71.0539549642351,"<b>Beacon Hill Boarding House</b><br>Boston, MA, circa 1843<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=822', width = '300'><br><small>Murals in poor condition, and now wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=822,"Murals in poor condition, and now wallpapered over.",no,no,"c(42.360138871648, -71.0539549642351)"
Deacon Libby House,1830,"Bridgton, ME",Porter School,mural,Lipman,school,school,44.0581425653995,-70.7127087471957,"<b>Deacon Libby House</b><br>Bridgton, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRYkY_pNi4XSNROp4m0sze55aaS9yjKpk1o5-XZKccp1EU8ycvCP2ojk2vBgMXh8l7d8A_GVB5QW48W/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRYkY_pNi4XSNROp4m0sze55aaS9yjKpk1o5-XZKccp1EU8ycvCP2ojk2vBgMXh8l7d8A_GVB5QW48W/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,no,"c(44.0581425653995, -70.7127087471957)"
Whitman Homestead,1835,"Bryant Pond, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.4003909415853,-70.6097954504076,"<b>Whitman Homestead</b><br>Bryant Pond, ME, circa 1835<br>Attributed to Jonathan D. Poor by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=727', width = '300'><br><small>House burned down in the 1940s.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=727,House burned down in the 1940s.,no,no,"c(44.4003909415853, -70.6097954504076)"
Carroll Rounds House,1830,"Buxton, ME",Porter School,mural,Lipman,school,school,43.639385783076,-70.5214517701588,"<b>Carroll Rounds House</b><br>Buxton, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=800', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=800,Image Unavailable,no,no,"c(43.639385783076, -70.5214517701588)"
A.I. Poulsen House,1830,"Buxton, ME",Porter School,mural,Lipman,school,school,43.6381886806183,-70.5240601516477,"<b>A.I. Poulsen House</b><br>Buxton, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=801', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=801,Image Unavailable,no,no,"c(43.6381886806183, -70.5240601516477)"
Levi Prosser House,1835,"Charlestown, MA",Porter School,mural,Lipman,school,school,42.3827537756825,-71.0657520538699,"<b>Levi Prosser House</b><br>Charlestown, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=812', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=812,Wallpapered over.,no,no,"c(42.3827537756825, -71.0657520538699)"
Neighborhood House,1825,"Dover, NH",Porter School,mural,Lipman,school,school,43.2006532249724,-70.8843696443908,"<b>Neighborhood House</b><br>Dover, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=770', width = '300'><br><small>Murals painted over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=770,Murals painted over.,no,no,"c(43.2006532249724, -70.8843696443908)"
Ingalls-Colby House,1830,"East Haverhill, MA",Porter School,mural,Lipman,school,school,42.7510055103526,-71.1101035300536,"<b>Ingalls-Colby House</b><br>East Haverhill, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-3_-%281.7-pg.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-3_-%281.7-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,no,"c(42.7510055103526, -71.1101035300536)"
Prescott Tavern,1824,"East Jaffrey, NH",Porter School,mural,Lipman,school,school,42.8139522944532,-72.0281136337435,"<b>Prescott Tavern</b><br>East Jaffrey, NH, circa 1824<br>Attributed to Porter School by Jean Lipman<br><img src='https://upload.wikimedia.org/wikipedia/commons/c/cc/Rufus_Porter_-_Boston_Harbor_-_2007.385_-_Museum_of_Fine_Arts.jpg', width = '300'><br><small>Wikimedia Commons <br> Now on view at the <a href='https://www.mfa.org/visit'>Museum of Fine Arts</a> in Boston</small>",https://upload.wikimedia.org/wikipedia/commons/c/cc/Rufus_Porter_-_Boston_Harbor_-_2007.385_-_Museum_of_Fine_Arts.jpg,Wikimedia Commons <br> Now on view at the <a href='https://www.mfa.org/visit'>Museum of Fine Arts</a> in Boston,yes,yes,"c(42.8139522944532, -72.0281136337435)"
Don Pierce House,1824,"East Jaffrey, NH",Porter School,mural,Lipman,school,school,42.8172716414501,-72.0151973298922,"<b>Don Pierce House</b><br>East Jaffrey, NH, circa 1824<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=768', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=768,Image Unavailable,no,no,"c(42.8172716414501, -72.0151973298922)"
