subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,geometry
Harvard Inn,1830,"Harvard, MA",Porter School,mural,Lipman,school,school,42.5040860315764,-71.5907050354988,"<b>Harvard Inn</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSG5S0QyIcm14uJtE2h1PmKAL3kPKzaegRFzaesFvXMHadjmD-7FXul34ADkD5-rzqzQsLcNyAg3aga/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSG5S0QyIcm14uJtE2h1PmKAL3kPKzaegRFzaesFvXMHadjmD-7FXul34ADkD5-rzqzQsLcNyAg3aga/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.5040860315764, -71.5907050354988)"
Wallace F. Bryant Estate Apartments (Whitney house),1830,"Harvard, MA",Porter School,mural,Lipman,school,school,42.5023569627385,-71.5777397246488,"<b>Wallace F. Bryant Estate Apartments (Whitney house)</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5023569627385, -71.5777397246488)"
Joshua Simons House,1830,"Lexington, MA",Porter School,mural,Lipman,school,school,42.4498094926917,-71.215793567291,"<b>Joshua Simons House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.4498094926917, -71.215793567291)"
Faith Gardner House,1830,"Lunenburg, MA",Porter School,mural,Lipman,school,school,42.5985825993954,-71.7360657113966,"<b>Faith Gardner House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5985825993954, -71.7360657113966)"
Sargent House,1830,"Merrimac, MA",Porter School,mural,Lipman,school,school,42.8358767612441,-70.9991252054054,"<b>Sargent House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.8358767612441, -70.9991252054054)"
Ronald Shaw HOuse,1830,"Merrimacport, MA",Porter School,mural,Lipman,school,school,42.8242858428966,-70.9826546970595,"<b>Ronald Shaw HOuse</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.8242858428966, -70.9826546970595)"
Charles A. Smith House,1830,"Townsend, MA",Porter School,mural,Lipman,school,school,42.6636928657943,-71.6947919299653,"<b>Charles A. Smith House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.6636928657943, -71.6947919299653)"
Reed Mansion,1830,"Townsend, MA",Porter School,mural,Lipman,school,school,42.6671070729374,-71.6952105472054,"<b>Reed Mansion</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSVaVJP_7xNqMgY3XnHQ5FGnbllrf48N4dqnEqOHm7MnvH2o7sqZheYZ8_r_GOAIcED9VQSSmMysuyZ/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSVaVJP_7xNqMgY3XnHQ5FGnbllrf48N4dqnEqOHm7MnvH2o7sqZheYZ8_r_GOAIcED9VQSSmMysuyZ/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.6671070729374, -71.6952105472054)"
Deacon Libby House,1830,"Bridgton, ME",Porter School,mural,Lipman,school,school,44.0562994461686,-70.7203971675809,"<b>Deacon Libby House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRYkY_pNi4XSNROp4m0sze55aaS9yjKpk1o5-XZKccp1EU8ycvCP2ojk2vBgMXh8l7d8A_GVB5QW48W/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRYkY_pNi4XSNROp4m0sze55aaS9yjKpk1o5-XZKccp1EU8ycvCP2ojk2vBgMXh8l7d8A_GVB5QW48W/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(44.0562994461686, -70.7203971675809)"
Carroll Rounds House,1830,"Buxton, ME",Porter School,mural,Lipman,school,school,43.634813766989,-70.5128409388583,"<b>Carroll Rounds House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.634813766989, -70.5128409388583)"
A.I. Poulsen House,1830,"Buxton, ME",Porter School,mural,Lipman,school,school,43.6351543978776,-70.5286761889952,"<b>A.I. Poulsen House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.6351543978776, -70.5286761889952)"
Barrows Homestead,1830,"Fryeburg, ME",Rufus Porter and Jonathan D. Poor,mural,Lipman,rp_mural,rp,44.0148112135477,-70.9830811463321,"<b>Barrows Homestead</b><br>Attributed to Rufus Porter and Jonathan D. Poor by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vST3k-644MPFICUZhnAOEF9hDZ7305QXgeDCqxA_TP95e07sFnBNMaHjU7u0wkTHEyBD5O_b_0U5H4B/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vST3k-644MPFICUZhnAOEF9hDZ7305QXgeDCqxA_TP95e07sFnBNMaHjU7u0wkTHEyBD5O_b_0U5H4B/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(44.0148112135477, -70.9830811463321)"
Warren-Towle House,1830,"Fryeburg, ME",Porter School,mural,Lipman,school,school,44.0153624226807,-70.989031597517,"<b>Warren-Towle House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQ-V62GFhXIhooqhRVee_TgoQOK2E_m_9ib-1mHHxnwbMR8YYxe_a7HACxiXT5aUoYsNoMnKjwaZwSB/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQ-V62GFhXIhooqhRVee_TgoQOK2E_m_9ib-1mHHxnwbMR8YYxe_a7HACxiXT5aUoYsNoMnKjwaZwSB/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(44.0153624226807, -70.989031597517)"
Dr. Files House,1830,"Gorham, ME",Porter School,mural,Lipman,school,school,43.6765615762616,-70.4563394612531,"<b>Dr. Files House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.6765615762616, -70.4563394612531)"
Quillcote,1830,"Hollis Center, ME",Porter School,mural,Lipman,school,school,43.6313183272549,-70.6332403846817,"<b>Quillcote</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.6313183272549, -70.6332403846817)"
H.O. Wood House,1830,"Lewiston, ME",Orison Wood,mural,Lipman,other,other,44.1002518483445,-70.2036066772833,"<b>H.O. Wood House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.1002518483445, -70.2036066772833)"
Howard W. Mann House,1830,"Lewiston, ME",Orison Wood,mural,Lipman,other,other,44.1008706606018,-70.2137185976698,"<b>Howard W. Mann House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.1008706606018, -70.2137185976698)"
Simon Martson House,1830,"Monmouth, ME",Porter School,mural,Lipman,school,school,44.2399210141003,-70.043275565926,"<b>Simon Martson House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.2399210141003, -70.043275565926)"
Ingalls House,1830,"South Bridgton, ME",Porter School,mural,Lipman,school,school,43.9952388626907,-70.6946508333604,"<b>Ingalls House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.9952388626907, -70.6946508333604)"
Captain Leavitt House,1830,"Turner, ME",Orison Wood,mural,Lipman,other,other,44.2597124900725,-70.2557187502952,"<b>Captain Leavitt House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.2597124900725, -70.2557187502952)"
Unidentified House,1830,"Turner, ME",Orison Wood,mural,Lipman,other,other,44.2569249037107,-70.2573245496201,"<b>Unidentified House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.2569249037107, -70.2573245496201)"
Unidentified House,1835,"West Mt. Vernon, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.457243835406,-70.0232491211265,"<b>Unidentified House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.457243835406, -70.0232491211265)"
Unidentified House,1833,"Vienna, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.532807515151,-69.9861784695501,"<b>Unidentified House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1833<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.532807515151, -69.9861784695501)"
Cushman Tavern,1830,"Webster Corner, ME",Orison Wood,mural,Lipman,other,other,44.0640702090816,-70.0979447800682,"<b>Cushman Tavern</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.0640702090816, -70.0979447800682)"
Otis B. Tibbets House,1830,"West Auburn, ME",Orison Wood,mural,Lipman,other,other,44.1563680045942,-70.2923634405331,"<b>Otis B. Tibbets House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.1563680045942, -70.2923634405331)"
Zebulon Trickey House,1830,"Westbrook, ME",Porter School,mural,Lipman,school,school,43.6760817350232,-70.3647925844234,"<b>Zebulon Trickey House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQjkugEsA_rqY5xQbeOI-CvJuzBlt2yh2JjifbRVG0ISz9SfPj-tuHIpvmSL7tvO09yoV0eQ5WDi5HO/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQjkugEsA_rqY5xQbeOI-CvJuzBlt2yh2JjifbRVG0ISz9SfPj-tuHIpvmSL7tvO09yoV0eQ5WDi5HO/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(43.6760817350232, -70.3647925844234)"
Elwin Chase House,1831,"Topsham, VT",Porter School,mural,Lipman,school,school,44.1292387585924,-72.2656541568408,"<b>Elwin Chase House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1831<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRqdEt7hB-JMV5q-a-Mj0CA2JaBgM2Tyqrwlr8x8rZSjR87UFhWuIQRzm-DjzTLPnrC8V9QqdM1uTZQ/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vRqdEt7hB-JMV5q-a-Mj0CA2JaBgM2Tyqrwlr8x8rZSjR87UFhWuIQRzm-DjzTLPnrC8V9QqdM1uTZQ/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"c(44.1292387585924, -72.2656541568408)"
G. Arthur Merrill House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.726816233965,-70.9911935483444,"<b>G. Arthur Merrill House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.726816233965, -70.9911935483444)"
Pingree House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.7278374380656,-70.9973258170712,"<b>Pingree House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7278374380656, -70.9973258170712)"
Pierce House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.7281891116255,-70.9978744155786,"<b>Pierce House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7281891116255, -70.9978744155786)"
Ethel M. Fredrick House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.7237423748391,-70.9821504470266,"<b>Ethel M. Fredrick House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7237423748391, -70.9821504470266)"
John C. Wilkins House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.7291108777,-71.0003839340119,"<b>John C. Wilkins House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7291108777, -71.0003839340119)"
Poor-Perry House,1835,"Andover, MA",Porter School,mural,Lipman,school,school,42.661600675818804,-71.1469038635313,"<b>Poor-Perry House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.6616006758188, -71.1469038635313)"
Levi Prosser House,1835,"Charlestown, MA",Porter School,mural,Lipman,school,school,42.3798055831771,-71.0741093072525,"<b>Levi Prosser House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.3798055831771, -71.0741093072525)"
Dr. Harold Ayers House,1835,"Groton, MA",Jonathan D. Poor,mural,Lipman,jdp,jdp,42.6093838565551,-71.5630778467163,"<b>Dr. Harold Ayers House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.6093838565551, -71.5630778467163)"
Van Heusen Seventeenth-Century Farms,1835,"North Reading, MA",Porter School,mural,Lipman,school,school,42.5715683575069,-71.0743096498879,"<b>Van Heusen Seventeenth-Century Farms</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRFgfu2ty75FVWz0GaKybF-rp4gCP3-G_B03Zrb0unaj9NkFhoHLoCZxhmC0GLNEdEGF-cGGR4UbZcx/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vRFgfu2ty75FVWz0GaKybF-rp4gCP3-G_B03Zrb0unaj9NkFhoHLoCZxhmC0GLNEdEGF-cGGR4UbZcx/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"c(42.5715683575069, -71.0743096498879)"
Frances Shay Mague House,1835,"North Reading, MA",Porter School,mural,Lipman,school,school,42.5741874674974,-71.070795498918,"<b>Frances Shay Mague House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5741874674974, -71.070795498918)"
Damon Tavern,1835,"North Reading, MA",Porter School,mural,Lipman,school,school,42.5766629549073,-71.0825423747411,"<b>Damon Tavern</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSo5iPATL9V1ccW5WiLLUgzg36B4Lww1dVRlxBCjeZf7l6AIwDs3mKd1EO0KRiGUoaVRQEPDJPKvsfV/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSo5iPATL9V1ccW5WiLLUgzg36B4Lww1dVRlxBCjeZf7l6AIwDs3mKd1EO0KRiGUoaVRQEPDJPKvsfV/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.5766629549073, -71.0825423747411)"
House near Route 28,1835,"North Reading, MA",Porter School,mural,Lipman,school,school,42.5745273595513,-71.0912405416119,"<b>House near Route 28</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5745273595513, -71.0912405416119)"
Winn House,1835,"Wakefield, MA",Porter School,mural,Lipman,school,school,42.5006038189798,-71.0828821762041,"<b>Winn House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5006038189798, -71.0828821762041)"
Franklin Poole House,1835,"Wakefield, MA",Porter School,mural,Lipman,school,school,42.5027836334208,-71.0631919328962,"<b>Franklin Poole House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5027836334208, -71.0631919328962)"
Lilly Eaton House,1835,"Wakefield, MA",Porter School,mural,Lipman,school,school,42.5058943773192,-71.0619874232563,"<b>Lilly Eaton House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5058943773192, -71.0619874232563)"
Thomas Walton House,1835,"Wakefield, MA",Porter School,mural,Lipman,school,school,42.5031984565651,-71.070447570609,"<b>Thomas Walton House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5031984565651, -71.070447570609)"
Kenneth Odiorne House,1835,"Wakefield, MA",Porter School,mural,Lipman,school,school,42.5042661524446,-71.0588780059983,"<b>Kenneth Odiorne House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5042661524446, -71.0588780059983)"
Whitman Homestead,1835,"Bryant Pond, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.3991786891118,-70.6022294188257,"<b>Whitman Homestead</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.3991786891118, -70.6022294188257)"
Leon H. Marr House,1835,"West Mt. Vernon, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.4539150103064,-70.0098175145759,"<b>Leon H. Marr House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.4539150103064, -70.0098175145759)"
Unidentified House,1830,"Turner, ME",Orison Wood,mural,Lipman,other,other,44.2584238302494,-70.265980649806,"<b>Unidentified House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.2584238302494, -70.265980649806)"
Unidentified House,1835,"West Mt. Vernon, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.4509587115446,-70.0027368810416,"<b>Unidentified House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.4509587115446, -70.0027368810416)"
Unidentified House,1833,"Vienna, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.5359769541946,-69.9976789792528,"<b>Unidentified House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1833<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(44.5359769541946, -69.9976789792528)"
John A. Andrew House,1838,"West Boxford, MA",Porter School,mural,Lipman,school,school,42.7078853272259,-71.065888966037,"<b>John A. Andrew House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1838<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSXB6N3NHpvrEIwkDNYAIBMfqcqrQg_pR8JjuRwtZlQ-RtzjLwZafTKwgWLFq695PT4OeSYL6JDrxyR/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSXB6N3NHpvrEIwkDNYAIBMfqcqrQg_pR8JjuRwtZlQ-RtzjLwZafTKwgWLFq695PT4OeSYL6JDrxyR/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.7078853272259, -71.065888966037)"
Joseph Burgson House,1838,"West Boxford, MA",Porter School,mural,Lipman,school,school,42.7101398684809,-71.0601959575728,"<b>Joseph Burgson House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7101398684809, -71.0601959575728)"
Hovey House,1838,"West Boxford, MA",Porter School,mural,Lipman,school,school,42.7055760568916,-71.0710680674158,"<b>Hovey House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7055760568916, -71.0710680674158)"
Reuben Guild House,1838,"Westwood, MA",Rufus Porter and Stephen Twombly Porter,mural,Lipman,rp_mural,rp,42.2104266539328,-71.2169600732565,"<b>Reuben Guild House</b><br>Attributed to Rufus Porter and Stephen Twombly Porter by Jean Lipman<br>Circa 1838<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSlA6r3gCs1QlN7BavAL9bGfwfP2BgJDhwY9O7aRMY3ogfU1hkLR6XpuHOVrUtjoT5pUYEQ7HTeQ3wq/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSlA6r3gCs1QlN7BavAL9bGfwfP2BgJDhwY9O7aRMY3ogfU1hkLR6XpuHOVrUtjoT5pUYEQ7HTeQ3wq/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(42.2104266539328, -71.2169600732565)"
Allen House,1838,"Westwood, MA",Rufus Porter and Stephen Twombly Porter,mural,Lipman,rp_mural,rp,42.2175520612683,-71.2199608565971,"<b>Allen House</b><br>Attributed to Rufus Porter and Stephen Twombly Porter by Jean Lipman<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.2175520612683, -71.2199608565971)"
Hezekiah Hutchins House,1840,"Rumford, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.5571078375714,-70.5444398196053,"<b>Hezekiah Hutchins House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1840<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vT17c-keKb15cHciIHudwbgVgkRObLyYAq_vo3-Xc5NVwrH0dpv7vr1q-qZN46OdXGmulg7WM0QQMtA/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vT17c-keKb15cHciIHudwbgVgkRObLyYAq_vo3-Xc5NVwrH0dpv7vr1q-qZN46OdXGmulg7WM0QQMtA/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"c(44.5571078375714, -70.5444398196053)"
Beacon Hill Boarding House,1843,"Boston, MA",Porter School,mural,Lipman,school,school,42.3599555333772,-71.0463923886334,"<b>Beacon Hill Boarding House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1843<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.3599555333772, -71.0463923886334)"
Senigo House,1845,"East Weymouth, MA",Porter School,mural,Lipman,school,school,42.2143244388824,-70.9501080799425,"<b>Senigo House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1845<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.2143244388824, -70.9501080799425)"
Fox House,1851,"Gorham, ME",Granville Fernald,mural,Lipman,other,other,43.6765197264895,-70.4375619420533,"<b>Fox House</b><br>Attributed to Granville Fernald by Jean Lipman<br>Circa 1851<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.6765197264895, -70.4375619420533)"
Pride House,1851,"Westbrook, ME",Granville Fernald,mural,Lipman,other,other,43.6776557113017,-70.3681413276886,"<b>Pride House</b><br>Attributed to Granville Fernald by Jean Lipman<br>Circa 1851<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.6776557113017, -70.3681413276886)"
Jacob Davis,1815,"Minot, ME",Rufus Porter,portrait,MFA,portrait,rp,44.1592018654837,-70.3493731284981,"<b>Jacob Davis</b><br>Attributed to  Rufus Porter<br>Circa 1815<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRTi4N-J6NMl0vrGI9ldDGB5lFDYRqmfny_qYp0LSGQkCojv2aqZE11PsU01JnikwXPQIU0PNlif38V/pub?w=960&h=720', width = '200'><br><small>Image from Museum of Fine Arts, Boston</small>",https://docs.google.com/drawings/d/e/2PACX-1vRTi4N-J6NMl0vrGI9ldDGB5lFDYRqmfny_qYp0LSGQkCojv2aqZE11PsU01JnikwXPQIU0PNlif38V/pub?w=960&h=720,"Museum of Fine Arts, Boston","c(44.1592018654837, -70.3493731284981)"
Colonel Jacob W. Watson,1833,"Princeton, MA",Rufus Porter,portrait,MFA,portrait,rp,42.4458057126181,-71.8744178215123,"<b>Colonel Jacob W. Watson</b><br>Attributed to  Rufus Porter<br>Circa 1833<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS6BpsDZ_dva4oOibWk8ZCYGIn-5jC8QJ7x02OXN8fPUX9bEbE7CtcZ9H__T7cy-f6LuVESagdrKNCm/pub?w=960&h=720', width = '200'><br><small>Image from Museum of Fine Arts, Boston</small>",https://docs.google.com/drawings/d/e/2PACX-1vS6BpsDZ_dva4oOibWk8ZCYGIn-5jC8QJ7x02OXN8fPUX9bEbE7CtcZ9H__T7cy-f6LuVESagdrKNCm/pub?w=960&h=720,"Museum of Fine Arts, Boston","c(42.4458057126181, -71.8744178215123)"
