town,state,year,subject,creator,type,attribution,image,img_src,fig_num,location,popup,lng,lat,icon,choice
Dover,NH,1825,Neighborhood House,Porter School,mural,Lipman,NA,,NA,"Dover, NH","<b>Neighborhood House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-70.88047096,43.20035688,school,school
East Jaffrey,NH,1824,Don Pierce House,Porter School,mural,Lipman,NA,,NA,"East Jaffrey, NH","<b>Don Pierce House</b><br> Attirbuted to Porter School<br>1824<br><img src= 'NA', width = '200'>",-72.0237414,42.82226681,school,school
Greenfield,NH,1825,James T. Garvin House,Porter School,mural,Lipman,NA,,NA,"Greenfield, NH","<b>James T. Garvin House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.86957191,42.95673153,school,school
Greenfield,NH,1825,Eliot Hutchinson House,Porter School,mural,Lipman,NA,,NA,"Greenfield, NH","<b>Eliot Hutchinson House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.87255384,42.94862401,school,school
Hancock,NH,1824,Miss Mary and Dr. Fredrika Moore House,Porter School,mural,Lipman,NA,,NA,"Hancock, NH","<b>Miss Mary and Dr. Fredrika Moore House</b><br> Attirbuted to Porter School<br>1824<br><img src= 'NA', width = '200'>",-71.98735023,42.98326514,school,school
Hancock,NH,1825,Cynthia Porter Weston House,Porter School,mural,Lipman,NA,,NA,"Hancock, NH","<b>Cynthia Porter Weston House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.98826146,42.96777749,school,school
Haverhill,NH,1825,Grace D. Wilson-Lavery House,Porter School,mural,Lipman,NA,,NA,"Haverhill, NH","<b>Grace D. Wilson-Lavery House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.06453473,44.03967707,school,school
Langdon,NH,1824,Bidwell Tavern,Porter School,mural,Lipman,NA,,"63, 64","Langdon, NH","<b>Bidwell Tavern</b><br> Attirbuted to Porter School<br>1824<br><img src= 'NA', width = '200'>",-72.37761431,43.1609276,school,school
Lyme,NH,1825,Frederick Wagner House,Porter School,mural,Lipman,NA,,"45, 69","Lyme, NH","<b>Frederick Wagner House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.15133027,43.79863039,school,school
Lyme,NH,1825,Dennis House,Porter School,mural,Lipman,NA,,NA,"Lyme, NH","<b>Dennis House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.15514164,43.81538949,school,school
Lyme,NH,1825,Perkins-Simmons House,Porter School,mural,Lipman,NA,,NA,"Lyme, NH","<b>Perkins-Simmons House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.16184308,43.81358467,school,school
Mason,NH,1825,Asher Tarbell House,Porter School,mural,Lipman,NA,,NA,"Mason, NH","<b>Asher Tarbell House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.76258111,42.73014047,school,school
Mason,NH,1825,Jonathan Batchelder House,Porter School,mural,Lipman,NA,,NA,"Mason, NH","<b>Jonathan Batchelder House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.7679247,42.75629107,school,school
Mason,NH,1825,Joseph Saunders House,Porter School,mural,Lipman,NA,,NA,"Mason, NH","<b>Joseph Saunders House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.77454905,42.73426109,school,school
New Ipswich,NH,1825,Solomon Russell House,Porter School,mural,Lipman,NA,,NA,"New Ipswich, NH","<b>Solomon Russell House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.87111696,42.72425922,school,school
New Ipswich,NH,1825,Gardner Davis House,Porter School,mural,Lipman,NA,,"58, 59","New Ipswich, NH","<b>Gardner Davis House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.89047068,42.73716192,school,school
New Ipswich,NH,1825,Gould-Chickering House,Porter School,mural,Lipman,NA,,NA,"New Ipswich, NH","<b>Gould-Chickering House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.87563909,42.73408215,school,school
North Haverhill,NH,1825,Harold Kimball House,Porter School,mural,Lipman,NA,,NA,"North Haverhill, NH","<b>Harold Kimball House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.01314106,44.08812655,school,school
North Haverhill,NH,1825,Leslie Lackie House,Porter School,mural,Lipman,NA,,NA,"North Haverhill, NH","<b>Leslie Lackie House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.01969494,44.09758233,school,school
Orford,NH,1824,Beale House,Porter School,mural,Lipman,NA,,NA,"Orford, NH","<b>Beale House</b><br> Attirbuted to Porter School<br>1824<br><img src= 'NA', width = '200'>",-72.13286112,43.90715202,school,school
Minot,ME,1815,Jacob Davis,Rufus Porter,portrait,MFA,https://docs.google.com/drawings/d/e/2PACX-1vRTi4N-J6NMl0vrGI9ldDGB5lFDYRqmfny_qYp0LSGQkCojv2aqZE11PsU01JnikwXPQIU0PNlif38V/pub?w=960&h=720,"Museum of Fine Arts, Boston",NA,"Minot, ME","<b>Jacob Davis</b><br> Attirbuted to Rufus Porter<br>1815<br><img src= '""images/jacob_davis.jpg""', width = '200'>",-70.35367845,44.16147079,portrait,RP
Princeton,MA,1833,Colonel Jacob W. Watson,Rufus Porter,portrait,MFA,https://docs.google.com/drawings/d/e/2PACX-1vS6BpsDZ_dva4oOibWk8ZCYGIn-5jC8QJ7x02OXN8fPUX9bEbE7CtcZ9H__T7cy-f6LuVESagdrKNCm/pub?w=960&h=720,"Museum of Fine Arts, Boston",NA,"Princeton, MA","<b>Colonel Jacob W. Watson</b><br> Attirbuted to Rufus Porter<br>1833<br><img src= '""images/colonel_watson.jpg""', width = '200'>",-71.87813783,42.44142417,portrait,RP
Princeton,MA,1833,Lydia Watson,Rufus Porter,portrait,MFA,https://docs.google.com/drawings/d/e/2PACX-1vThhCm9JHQv-ID3TJTNJUaiuYrMKPB2HJY0CPHte-rtcosNcf9LdWmvq0CtFPC9tzO0M_1dAPrp5x1V/pub?w=960&h=720,"Museum of Fine Arts, Boston",NA,"Princeton, MA","<b>Lydia Watson</b><br> Attirbuted to Rufus Porter<br>1833<br><img src= '""images/lydia_watson.jpg""', width = '200'>",-71.88632986,42.44185441,portrait,RP
Winthrop,ME,1830,Captain Samuel Benjamin House,Porter School,mural,MSM,https://docs.google.com/drawings/d/e/2PACX-1vSFidbgYNfvoip9GJN7TeLSg6d9ssE9dsMqL5SO2XnBaXJe4tA9b3tlnN3mNBfslBdONZlQolQS_okB/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,color plate 13,"Winthrop, ME","<b>Captain Samuel Benjamin House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-69.98007748,44.30080652,school,school
Sturbridge,MA,1830,Oliver Wight House,Porter School,mural,OSV,https://upload.wikimedia.org/wikipedia/commons/8/8f/OWHPortermural2.jpg,Wikimedia Commons,NA,"Sturbridge, MA","<b>Oliver Wight House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-72.08795003,42.09817843,school,school
Chelmsford,MA,1825,Nathan Peabody Ames,Rufus Porter,portrait,RPM,NA,,NA,"Chelmsford, MA","<b>Nathan Peabody Ames</b><br> Attirbuted to Rufus Porter<br>1825<br><img src= 'NA', width = '200'>",-71.37444039,42.6064753,portrait,RP
Hopkinton,MA,1820,Judith Carter,Rufus Porter,portrait,RPM,NA,,NA,"Hopkinton, MA","<b>Judith Carter</b><br> Attirbuted to Rufus Porter<br>1820<br><img src= 'NA', width = '200'>",-71.5219962,42.2420383,portrait,RP
Hopkinton,MA,1820,Timothy Carter,Rufus Porter,portrait,RPM,NA,,NA,"Hopkinton, MA","<b>Timothy Carter</b><br> Attirbuted to Rufus Porter<br>1820<br><img src= 'NA', width = '200'>",-71.52649388,42.2386619,portrait,RP
Middleboro,MA,1815,Besty Long Ellis,Rufus Porter,portrait,RPM,NA,,NA,"Middleboro, MA","<b>Besty Long Ellis</b><br> Attirbuted to Rufus Porter<br>1815<br><img src= 'NA', width = '200'>",-70.91652982,41.88010562,portrait,RP
Gorham,ME,1819,Mary Gorham Irish,Rufus Porter,portrait,RPM,NA,,NA,"Gorham, ME","<b>Mary Gorham Irish</b><br> Attirbuted to Rufus Porter<br>1819<br><img src= 'NA', width = '200'>",-70.44634353,43.67348247,portrait,RP
Cooperstown,NY,1820,Mrs. Cooper,Rufus Porter,portrait,RPM,NA,,NA,"Cooperstown, NY","<b>Mrs. Cooper</b><br> Attirbuted to Rufus Porter<br>1820<br><img src= 'NA', width = '200'>",-74.91716558,42.70231139,portrait,RP
Cooperstown,NY,1820,Mr. Cooper,Rufus Porter,portrait,RPM,NA,,NA,"Cooperstown, NY","<b>Mr. Cooper</b><br> Attirbuted to Rufus Porter<br>1820<br><img src= 'NA', width = '200'>",-74.91666017,42.69993856,portrait,RP
Wakefield,MA,1835,Emerson House,Rufus Porter,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-1_-%281.5-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe ","89, 90, color plate 11","Wakefield, MA","<b>Emerson House</b><br> Attirbuted to Rufus Porter<br>1835<br><img src= 'NA', width = '200'>",-71.06874665,42.49707609,rp_mural,RP
Groton,MA,1835,Donald L. Priest House,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-10_-%282.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe ",95,"Groton, MA","<b>Donald L. Priest House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'http://s3.amazonaws.com/afanews_articles/01019/FIG-10_-%282.png', width = '200'>",-71.58416867,42.62129083,jdp,JDP
Readfield,ME,1835,Judge Bean House,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-12_-10---Bean-signature-on-ship-LCL.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe ",NA,"Readfield, ME","<b>Judge Bean House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= '""images/judge-bean-JDP.png""', width = '200'>",-69.97120041,44.3967037,jdp,JDP
Parsonfield,ME,1830,Dalton House,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-13_-15---Dalton-signature.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe ",NA,"Parsonfield, ME","<b>Dalton House</b><br> Attirbuted to Paine<br>1830<br><img src= 'NA', width = '200'>",-70.93738957,43.71780561,other,other
Parsonfield,ME,1830,Chillis House,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-14_-16---Morison-signature.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe ",NA,"Parsonfield, ME","<b>Chillis House</b><br> Attirbuted to Jonathan D. Poor<br>1830<br><img src= '""images/chellis-JDP.png""', width = '200'>",-70.92196143,43.73691414,jdp,JDP
East Baldwin,ME,1840,Lorenzo Norton House,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-2b_-stitch_new.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe ",NA,"East Baldwin, ME","<b>Lorenzo Norton House</b><br> Attirbuted to Jonathan D. Poor<br>1840<br><img src= '""images/norton-JDP.png""', width = '200'>",-70.66704399,43.81654937,jdp,JDP
North Parsonfield,ME,1830,Curtis M. Sweat House,Jonathan D. Poor and Paine,mural,signed,https://docs.google.com/drawings/d/e/2PACX-1vSrg7rgEhMR1bB8PmqRtlmqnsi5FdJwmaBmNZPs-iJ5MXO7lgQJ_Q2lfXEOfbGdqV3xHgjq_Nz0ey0P/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"color plate 19, color plate 20","North Parsonfield, ME","<b>Curtis M. Sweat House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1830<br><img src= 'NA', width = '200'>",-70.92042561,43.74600884,jdp,JDP
Westwood,MA,1838,Dr. Francis Howe House,Rufus Porter and Stephen Twombly Porter,mural,signed,https://upload.wikimedia.org/wikipedia/en/e/e1/Wall_mural_by_Rufus_Porter.jpg,Wikimedia Commons,"81-84, color plate 16","Westwood, MA","<b>Dr. Francis Howe House</b><br> Attirbuted to Rufus Porter and Stephen Twombly Porter<br>1838<br><img src= '""images/francis-howe.jpeg""', width = '200'>",-71.22332031,42.20957205,rp_mural,RP
Woburn,MA,1835,Shaker Glenn Inn,Porter School,mural,signed,NA,,NA,"Woburn, MA","<b>Shaker Glenn Inn</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.14288137,42.48364938,school,school
Chesterville,ME,1834,Professor Diller House,Jonathan D. Poor,mural,signed,NA,,NA,"Chesterville, ME","<b>Professor Diller House</b><br> Attirbuted to Jonathan D. Poor<br>1834<br><img src= 'NA', width = '200'>",-70.07788629,44.55977604,jdp,JDP
Chesterville,ME,1834,Fuller Dyke House,Jonathan D. Poor,mural,signed,NA,,NA,"Chesterville, ME","<b>Fuller Dyke House</b><br> Attirbuted to Jonathan D. Poor<br>1834<br><img src= 'NA', width = '200'>",-70.09605221,44.55816242,jdp,JDP
Winthrop,ME,1830,Frank Hanson House,E.V. Bennett,mural,signed,NA,,NA,"Winthrop, ME","<b>Frank Hanson House</b><br> Attirbuted to E.V. Bennett<br>1830<br><img src= 'NA', width = '200'>",-69.97640742,44.30255674,other,other
Winthrop,ME,1830,Knowlton House,E.J. Gilbert,mural,signed,NA,,100,"Winthrop, ME","<b>Knowlton House</b><br> Attirbuted to E.J. Gilbert<br>1830<br><img src= 'NA', width = '200'>",-69.96850018,44.31157879,other,other
Plainville,CT,1835,Julia Lottie Hills,Rufus Porter,portrait,signed,NA,,NA,"Plainville, CT","<b>Julia Lottie Hills</b><br> Attirbuted to Rufus Porter<br>1835<br><img src= 'NA', width = '200'>",-72.86561617,41.6641191,portrait,RP
Standish,ME,1830,Warren Pederson House,Jonathan D. Poor,mural,tradition,http://s3.amazonaws.com/afanews_articles/01019/FIG-11_-13---Prescott-signature.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe ",color plate 17,"Standish, ME","<b>Warren Pederson House</b><br> Attirbuted to Jonathan D. Poor<br>1830<br><img src= '""images/warran-pederson-JDP.png""', width = '200'>",-70.54968391,43.74638395,jdp,JDP
Mt. Vernon,ME,1835,Burbank House,Jonathan D. Poor,mural,tradition,http://s3.amazonaws.com/afanews_articles/01019/FIG-5_-%282.37-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe ",NA,"Mt. Vernon, ME","<b>Burbank House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= '""images/silas-burbank-JDP.png""', width = '200'>",-69.98514186,44.50583768,jdp,JDP
Bradford,NH,1824,Joshua Eaton House,"Rufus Porter and Moses Eaton, Jr.",mural,tradition,https://docs.google.com/drawings/d/e/2PACX-1vQ4TzQOcGCe3R4Uz3SBXMw5OrUVBW1FI7a0yUTKviTCTo7TdenzBIXx6qRSaX_2z4z3Zsluf4YE6fjT/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"60, color plate 3, color plate 5","Bradford, NH","<b>Joshua Eaton House</b><br> Attirbuted to Rufus Porter and Moses Eaton, Jr.<br>1824<br><img src= 'NA', width = '200'>",-71.95060968,43.28118029,rp_mural,RP
Westwood,MA,1838,E.A. West House,Rufus Porter and Stephen Twombly Porter,mural,tradition,https://www.themagazineantiques.com/wp-content/uploads/2020/01/IMG_0011c.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne","78, 79","Westwood, MA","<b>E.A. West House</b><br> Attirbuted to Rufus Porter and Stephen Twombly Porter<br>1838<br><img src= 'NA', width = '200'>",-71.22769024,42.20104644,rp_mural,RP
Westwood,MA,1838,Storer Ware House,Rufus Porter and Stephen Twombly Porter,mural,tradition,NA,,NA,"Westwood, MA","<b>Storer Ware House</b><br> Attirbuted to Rufus Porter and Stephen Twombly Porter<br>1838<br><img src= 'NA', width = '200'>",-71.22584428,42.21794389,rp_mural,RP
Bethel,ME,1835,Dr. Moses Mason House,Jonathan D. Poor,mural,tradition,NA,,color plate 18,"Bethel, ME","<b>Dr. Moses Mason House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.79334051,44.39174589,jdp,JDP
Chesterville,ME,1834,Captain Thomas Williams House,Jonathan D. Poor,mural,tradition,NA,,NA,"Chesterville, ME","<b>Captain Thomas Williams House</b><br> Attirbuted to Jonathan D. Poor<br>1834<br><img src= 'NA', width = '200'>",-70.09186727,44.55656617,jdp,JDP
Chesterville,ME,1834,Lyman Whittier House,Jonathan D. Poor,mural,tradition,NA,,NA,"Chesterville, ME","<b>Lyman Whittier House</b><br> Attirbuted to Jonathan D. Poor<br>1834<br><img src= 'NA', width = '200'>",-70.09438967,44.55238863,jdp,JDP
Chesterville,ME,1834,Thomas Austin House,Jonathan D. Poor,mural,tradition,NA,,NA,"Chesterville, ME","<b>Thomas Austin House</b><br> Attirbuted to Jonathan D. Poor<br>1834<br><img src= 'NA', width = '200'>",-70.07747929,44.559813,jdp,JDP
Cornish,ME,1830,Thompkins House,Porter School,mural,tradition,NA,,NA,"Cornish, ME","<b>Thompkins House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.79846563,43.79855245,school,school
Farmington,ME,1835,Milton Gay House,Jonathan D. Poor and Paine,mural,tradition,NA,,97,"Farmington, ME","<b>Milton Gay House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1835<br><img src= 'NA', width = '200'>",-70.16064653,44.67606335,jdp,JDP
Farmington,ME,1835,Gerald York House,Jonathan D. Poor,mural,tradition,NA,,NA,"Farmington, ME","<b>Gerald York House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.14847267,44.68027976,jdp,JDP
Farmington,ME,1835,Benjamin Stanley House,Jonathan D. Poor,mural,tradition,NA,,NA,"Farmington, ME","<b>Benjamin Stanley House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.15737836,44.68164927,jdp,JDP
Farmington,ME,1835,David E. Currier House,Jonathan D. Poor,mural,tradition,NA,,NA,"Farmington, ME","<b>David E. Currier House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.16105326,44.66036696,jdp,JDP
Farmington,ME,1830,Jonathan Cushman House,Jonathan D. Poor and Paine,mural,tradition,NA,,NA,"Farmington, ME","<b>Jonathan Cushman House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1830<br><img src= 'NA', width = '200'>",-70.1575972,44.66684419,jdp,JDP
Farmington,ME,1830,William Gilman House,Jonathan D. Poor and Paine,mural,tradition,NA,,NA,"Farmington, ME","<b>William Gilman House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1830<br><img src= 'NA', width = '200'>",-70.15418116,44.67638647,jdp,JDP
Farmington,ME,1830,David Ingham House,Jonathan D. Poor and Paine,mural,tradition,NA,,NA,"Farmington, ME","<b>David Ingham House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1830<br><img src= 'NA', width = '200'>",-70.1547721,44.67760583,jdp,JDP
Farmington,ME,1830,Robert C. Bruce House,Jonathan D. Poor and Paine,mural,tradition,NA,,NA,"Farmington, ME","<b>Robert C. Bruce House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1830<br><img src= 'NA', width = '200'>",-70.14335078,44.67376052,jdp,JDP
Farmington Falls,ME,1830,Russ House,Jonathan D. Poor and Paine,mural,tradition,NA,,96,"Farmington Falls, ME","<b>Russ House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1830<br><img src= 'NA', width = '200'>",-70.07033766,44.62602745,jdp,JDP
Fayette,ME,1835,Lieutenant John Lovejoy House,Jonathan D. Poor,mural,tradition,NA,,NA,"Fayette, ME","<b>Lieutenant John Lovejoy House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.03997334,44.40372516,jdp,JDP
Limerick,ME,1830,McDonald Inn,Paine,mural,tradition,NA,,NA,"Limerick, ME","<b>McDonald Inn</b><br> Attirbuted to Paine<br>1830<br><img src= 'NA', width = '200'>",-70.79098331,43.69757198,other,other
Limerick,ME,1830,Furlong House,Paine,mural,tradition,NA,,NA,"Limerick, ME","<b>Furlong House</b><br> Attirbuted to Paine<br>1830<br><img src= 'NA', width = '200'>",-70.80112571,43.68870054,other,other
Mt. Vernon,ME,1835,Arthur Gordon House,Jonathan D. Poor,mural,tradition,NA,,NA,"Mt. Vernon, ME","<b>Arthur Gordon House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-69.98567336,44.51396148,jdp,JDP
New Sharon,ME,1840,Robert C. Bruce House,Jonathan D. Poor,mural,tradition,NA,,NA,"New Sharon, ME","<b>Robert C. Bruce House</b><br> Attirbuted to Jonathan D. Poor<br>1840<br><img src= 'NA', width = '200'>",-70.01659636,44.62608387,jdp,JDP
North Parsonfield,ME,1830,Frank Chapman House,Jonathan D. Poor and Paine,mural,tradition,NA,,NA,"North Parsonfield, ME","<b>Frank Chapman House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1830<br><img src= 'NA', width = '200'>",-70.92113869,43.74960106,jdp,JDP
North Parsonfield,ME,1830,Helen Cating House,Jonathan D. Poor and Paine,mural,tradition,NA,,NA,"North Parsonfield, ME","<b>Helen Cating House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1830<br><img src= 'NA', width = '200'>",-70.92912869,43.75892746,jdp,JDP
North Parsonfield,ME,1830,Dr. William Reid House,Jonathan D. Poor and Paine,mural,tradition,NA,,NA,"North Parsonfield, ME","<b>Dr. William Reid House</b><br> Attirbuted to Jonathan D. Poor and Paine<br>1830<br><img src= 'NA', width = '200'>",-70.91867571,43.75303068,jdp,JDP
Readfield,ME,1835,Captain Dudley Haines House,Jonathan D. Poor,mural,tradition,NA,,"color plate 21, color plate 22","Readfield, ME","<b>Captain Dudley Haines House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-69.9657415,44.3897887,jdp,JDP
Standish,ME,1830,Barbara E. Parker House,Paine,mural,tradition,NA,,NA,"Standish, ME","<b>Barbara E. Parker House</b><br> Attirbuted to Paine<br>1830<br><img src= 'NA', width = '200'>",-70.55595221,43.73778487,other,other
Strong,ME,1835,William McClary House,Jonathan D. Poor,mural,tradition,NA,,NA,"Strong, ME","<b>William McClary House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.21249941,44.81627486,jdp,JDP
Vienna,ME,1833,Nathaniel Whittier House,Jonathan D. Poor,mural,tradition,NA,,NA,"Vienna, ME","<b>Nathaniel Whittier House</b><br> Attirbuted to Jonathan D. Poor<br>1833<br><img src= 'NA', width = '200'>",-69.98324976,44.53428047,jdp,JDP
Vienna,ME,1833,Gilman Batchelder House,Jonathan D. Poor,mural,tradition,NA,,NA,"Vienna, ME","<b>Gilman Batchelder House</b><br> Attirbuted to Jonathan D. Poor<br>1833<br><img src= 'NA', width = '200'>",-69.98892923,44.53926973,jdp,JDP
Vienna,ME,1833,Unidentified House,Jonathan D. Poor,mural,tradition,NA,,NA,"Vienna, ME","<b>Unidentified House</b><br> Attirbuted to Jonathan D. Poor<br>1833<br><img src= 'NA', width = '200'>",-69.99285972,44.54249645,jdp,JDP
