subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,has_img,geometry
G. Arthur Merrill House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.7257430296128,-70.989010028021,"<b>G. Arthur Merrill House</b><br>Georgetown, MA, circa 1832<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=806', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=806,Image Unavailable,no,"c(42.7257430296128, -70.989010028021)"
Ethel M. Fredrick House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.7215100703221,-70.9872360939706,"<b>Ethel M. Fredrick House</b><br>Georgetown, MA, circa 1832<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=809', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=809,Image Unavailable,no,"c(42.7215100703221, -70.9872360939706)"
Poor-Perry House,1835,"Andover, MA",Porter School,mural,Lipman,school,school,42.6603763749363,-71.150124916246,"<b>Poor-Perry House</b><br>Andover, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=811', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=811,Image Unavailable,no,"c(42.6603763749363, -71.150124916246)"
Frances Shay Mague House,1835,"North Reading, MA",Porter School,mural,Lipman,school,school,42.573367285835,-71.0763701678403,"<b>Frances Shay Mague House</b><br>North Reading, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=813', width = '300'><br><small>Image Unavailable</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=813,Image Unavailable,no,"c(42.573367285835, -71.0763701678403)"
Dr. Harold Ayers House,1835,"Groton, MA",Jonathan D. Poor,mural,Lipman,jdp,jdp,42.6122573697768,-71.5869038052823,"<b>Dr. Harold Ayers House</b><br>Groton, MA, circa 1835<br>Attributed to Jonathan D. Poor by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=726', width = '300'><br><small>Most murals painted over, but overmantel remains in fair condition.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=726,"Most murals painted over, but overmantel remains in fair condition.",no,"c(42.6122573697768, -71.5869038052823)"
Whitney House,1830,"Harvard, MA",Porter School,mural,Lipman,school,school,42.5032506043805,-71.5795895170784,"<b>Whitney House</b><br>Harvard, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=794', width = '300'><br><small>Mural removed to Fruitlands Museums.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=794,Mural removed to Fruitlands Museums.,no,"c(42.5032506043805, -71.5795895170784)"
Harold Kimball House,1825,"North Haverhill, NH",Porter School,mural,Lipman,school,school,44.0839156399341,-72.0145875329434,"<b>Harold Kimball House</b><br>North Haverhill, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=781', width = '300'><br><small>Murals archivally covered with wallboard.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=781,Murals archivally covered with wallboard.,no,"c(44.0839156399341, -72.0145875329434)"
Pierce House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.7217592525253,-71.0017821464248,"<b>Pierce House</b><br>Georgetown, MA, circa 1832<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=808', width = '300'><br><small>Murals damaged by alterations to the house.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=808,Murals damaged by alterations to the house.,no,"c(42.7217592525253, -71.0017821464248)"
Captain Thomas Williams House,1834,"Chesterville, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.5506152510997,-70.0770702489363,"<b>Captain Thomas Williams House</b><br>Chesterville, ME, circa 1834<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=740', width = '300'><br><small>Murals damaged by attempted restoration without a trained professional.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=740,Murals damaged by attempted restoration without a trained professional.,no,"c(44.5506152510997, -70.0770702489363)"
Grace D. Wilson-Lavery House,1825,"Haverhill, NH",Porter School,mural,Lipman,school,school,44.0307046834016,-72.0554946532232,"<b>Grace D. Wilson-Lavery House</b><br>Haverhill, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=774', width = '300'><br><small>Murals damaged by attempted restoration without a trained professional.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=774,Murals damaged by attempted restoration without a trained professional.,no,"c(44.0307046834016, -72.0554946532232)"
Jonas Monroe House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4911126006077,-71.2645938473705,"<b>Jonas Monroe House</b><br>Bedford, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=785', width = '300'><br><small>Murals damaged by attempted restoration without a trained professional.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=785,Murals damaged by attempted restoration without a trained professional.,no,"c(42.4911126006077, -71.2645938473705)"
Frank Hanson House,1830,"Winthrop, ME",E.V. Bennett,mural,signed,other,other,44.3064937705691,-69.9708828536353,"<b>Frank Hanson House</b><br>Winthrop, ME, circa 1830<br>Signed by E.V. Bennett<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=721', width = '300'><br><small>Murals damaged by varnish.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=721,Murals damaged by varnish.,no,"c(44.3064937705691, -69.9708828536353)"
Thomas Walton House,1835,"Wakefield, MA",Porter School,mural,Lipman,school,school,42.5048240675031,-71.0609947383702,"<b>Thomas Walton House</b><br>Wakefield, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=818', width = '300'><br><small>Murals destroyed by alterations to house.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=818,Murals destroyed by alterations to house.,no,"c(42.5048240675031, -71.0609947383702)"
David Ingham House,1830,"Farmington, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,44.6676996963413,-70.1459481142091,"<b>David Ingham House</b><br>Farmington, ME, circa 1830<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=749', width = '300'><br><small>Murals destroyed in the 1940s.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=749,Murals destroyed in the 1940s.,no,"c(44.6676996963413, -70.1459481142091)"
Leslie Lackie House,1825,"North Haverhill, NH",Porter School,mural,Lipman,school,school,44.0828196108568,-72.0226978507549,"<b>Leslie Lackie House</b><br>North Haverhill, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=782', width = '300'><br><small>Murals destroyed.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=782,Murals destroyed.,no,"c(44.0828196108568, -72.0226978507549)"
Joseph Burgson House,1838,"West Boxford, MA",Porter School,mural,Lipman,school,school,42.7096152917822,-71.0556449042557,"<b>Joseph Burgson House</b><br>West Boxford, MA, circa 1838<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=820', width = '300'><br><small>Murals destroyed.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=820,Murals destroyed.,no,"c(42.7096152917822, -71.0556449042557)"
Beacon Hill Boarding House,1843,"Boston, MA",Porter School,mural,Lipman,school,school,42.3631532225504,-71.0460035569192,"<b>Beacon Hill Boarding House</b><br>Boston, MA, circa 1843<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=822', width = '300'><br><small>Murals in poor condition, and now wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=822,"Murals in poor condition, and now wallpapered over.",no,"c(42.3631532225504, -71.0460035569192)"
Robert C. Bruce House,1840,"New Sharon, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.6358868549871,-70.017469948791,"<b>Robert C. Bruce House</b><br>New Sharon, ME, circa 1840<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=735', width = '300'><br><small>Murals in very poor condition.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=735,Murals in very poor condition.,no,"c(44.6358868549871, -70.017469948791)"
Frank Chapman House,1830,"North Parsonfield, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,43.7530905239804,-70.9179083046658,"<b>Frank Chapman House</b><br>North Parsonfield, ME, circa 1830<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=750', width = '300'><br><small>Murals in very poor condition.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=750,Murals in very poor condition.,no,"c(43.7530905239804, -70.9179083046658)"
Simon Martson House,1830,"Monmouth, ME",Porter School,mural,Lipman,school,school,44.2409743980061,-70.0433440103133,"<b>Simon Martson House</b><br>Monmouth, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=804', width = '300'><br><small>Murals in very poor condition.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=804,Murals in very poor condition.,no,"c(44.2409743980061, -70.0433440103133)"
Edward Gibbin House,1830,"Merrimacport, MA",Porter School,mural,Lipman,school,school,42.8251914430086,-70.9867426257495,"<b>Edward Gibbin House</b><br>Merrimacport, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=798', width = '300'><br><small>Murals painted or wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=798,Murals painted or wallpapered over.,no,"c(42.8251914430086, -70.9867426257495)"
McDonald Inn,1830,"Limerick, ME",Paine,mural,tradition,other,other,43.6861570064523,-70.7977912775477,"<b>McDonald Inn</b><br>Limerick, ME, circa 1830<br>Traditionally attributed to Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=764', width = '300'><br><small>Murals painted over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=764,Murals painted over.,no,"c(43.6861570064523, -70.7977912775477)"
Neighborhood House,1825,"Dover, NH",Porter School,mural,Lipman,school,school,43.2015693583615,-70.8803815899122,"<b>Neighborhood House</b><br>Dover, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=770', width = '300'><br><small>Murals painted over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=770,Murals painted over.,no,"c(43.2015693583615, -70.8803815899122)"
Sargent House,1830,"Merrimac, MA",Porter School,mural,Lipman,school,school,42.8347159780615,-70.9985569518184,"<b>Sargent House</b><br>Merrimac, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=797', width = '300'><br><small>Murals painted over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=797,Murals painted over.,no,"c(42.8347159780615, -70.9985569518184)"
Dr. Files House,1830,"Gorham, ME",Porter School,mural,Lipman,school,school,43.6808803985758,-70.4526023668795,"<b>Dr. Files House</b><br>Gorham, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=802', width = '300'><br><small>Murals painted over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=802,Murals painted over.,no,"c(43.6808803985758, -70.4526023668795)"
Professor Diller House,1834,"Chesterville, ME",Jonathan D. Poor,mural,signed,jdp,jdp,44.5541317274164,-70.0990914423415,"<b>Professor Diller House</b><br>Chesterville, ME, circa 1834<br>Signed by Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=731', width = '300'><br><small>Murals removed.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=731,Murals removed.,no,"c(44.5541317274164, -70.0990914423415)"
Perkins-Simmons House,1825,"Lyme, NH",Porter School,mural,Lipman,school,school,43.8076907945148,-72.1661682890195,"<b>Perkins-Simmons House</b><br>Lyme, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=777', width = '300'><br><small>Murals removed. House demolished in 1963.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=777,Murals removed. House demolished in 1963.,no,"c(43.8076907945148, -72.1661682890195)"
Shaker Glenn Inn,1835,"Woburn, MA",Rufus Porter,mural,signed,rp_mural,rp,42.4756559920056,-71.1565918154123,"<b>Shaker Glenn Inn</b><br>Woburn, MA, circa 1835<br>Signed by Rufus Porter<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=831', width = '300'><br><small>Murals repainted and varnished.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=831,Murals repainted and varnished.,no,"c(42.4756559920056, -71.1565918154123)"
Fox House,1851,"Gorham, ME",Granville Fernald,mural,Lipman,other,other,43.6815449950719,-70.4489576402864,"<b>Fox House</b><br>Gorham, ME, circa 1851<br>Attributed to Granville Fernald by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=722', width = '300'><br><small>Some murals wallpapered over, some remain in good condition.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=722,"Some murals wallpapered over, some remain in good condition.",no,"c(43.6815449950719, -70.4489576402864)"
Jonathan Batchelder House,1825,"Mason, NH",Porter School,mural,Lipman,school,school,42.7426525094668,-71.7732509047391,"<b>Jonathan Batchelder House</b><br>Mason, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=778', width = '300'><br><small>Some walls destroyed, some in fair condition.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=778,"Some walls destroyed, some in fair condition.",no,"c(42.7426525094668, -71.7732509047391)"
Lyman Whittier House,1834,"Chesterville, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.5487582096774,-70.0998188980676,"<b>Lyman Whittier House</b><br>Chesterville, ME, circa 1834<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=741', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=741,Wallpapered over.,no,"c(44.5487582096774, -70.0998188980676)"
Gerald York House,1835,"Farmington, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.6726843187937,-70.1489569801428,"<b>Gerald York House</b><br>Farmington, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=743', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=743,Wallpapered over.,no,"c(44.6726843187937, -70.1489569801428)"
Helen Cating House,1830,"North Parsonfield, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,43.7605776081171,-70.9332554005538,"<b>Helen Cating House</b><br>North Parsonfield, ME, circa 1830<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=751', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=751,Wallpapered over.,no,"c(43.7605776081171, -70.9332554005538)"
Dr. William Reid House,1830,"North Parsonfield, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,43.7558439309299,-70.9336744100256,"<b>Dr. William Reid House</b><br>North Parsonfield, ME, circa 1830<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=752', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=752,Wallpapered over.,no,"c(43.7558439309299, -70.9336744100256)"
